"","combo","Wang","ID1","ID2","age1","amg1","age2","amg2","same.amg.yn","age.dif","same.age.yn"
"352","DYEVOD",-0.1394,"DYE","VOD",9.96438356164384,"AMG6",7.86575342465753,"AMG2","Between All-Male Groups",2.09863013698631,"Different Age Class"
"353","ERGMOB",-0.1389,"ERG","MOB",8.71506849315069,"AMG6",11.1424657534247,"AMG7","Between All-Male Groups",2.42739726027401,"Different Age Class"
"354","ERGMOB",-0.1389,"ERG","MOB",8.71506849315069,"AMG6",11.1424657534247,"AMG7","Between All-Male Groups",2.42739726027401,"Different Age Class"
"355","DIKMEA",-0.1374,"DIK","MEA",8.51780821917808,"AMG7",8.34794520547945,"AMG7","Within All-Male Group",0.169863013698631,"Same Age Class"
"356","DIKMEA",-0.1374,"DIK","MEA",8.51780821917808,"AMG7",8.34794520547945,"AMG7","Within All-Male Group",0.169863013698631,"Same Age Class"
"357","DYEMOB",-0.1366,"DYE","MOB",9.96438356164384,"AMG6",11.1424657534247,"AMG7","Between All-Male Groups",1.17808219178086,"Same Age Class"
"358","DYEMOB",-0.1366,"DYE","MOB",9.96438356164384,"AMG6",11.1424657534247,"AMG7","Between All-Male Groups",1.17808219178086,"Same Age Class"
"359","DYEEGG",-0.1345,"DYE","EGG",9.96438356164384,"AMG6",8.71506849315069,"AMG6","Within All-Male Group",1.24931506849315,"Same Age Class"
"360","DYEEGG",-0.1345,"DYE","EGG",9.96438356164384,"AMG6",8.71506849315069,"AMG6","Within All-Male Group",1.24931506849315,"Same Age Class"
"361","EAGMAY",-0.1333,"EAG","MAY",8.46301369863014,"AMG6",10.213698630137,"AMG6","Within All-Male Group",1.75068493150686,"Different Age Class"
"362","EAGMAY",-0.1333,"EAG","MAY",8.46301369863014,"AMG6",10.213698630137,"AMG6","Within All-Male Group",1.75068493150686,"Different Age Class"
"363","ASLWHI",-0.1322,"ASL","WHI",11.9616438356164,"AMG6",12.3643835616438,"AMG2","Between All-Male Groups",0.4027397260274,"Same Age Class"
"364","ASLWHI",-0.1322,"ASL","WHI",11.9616438356164,"AMG6",12.3643835616438,"AMG2","Between All-Male Groups",0.4027397260274,"Same Age Class"
"365","GHESMA",-0.132,"GHE","SMA",8.86301369863014,"AMG3",7.75616438356164,"AMG4","Between All-Male Groups",1.1068493150685,"Same Age Class"
"366","GHESMA",-0.132,"GHE","SMA",8.86301369863014,"AMG3",7.75616438356164,"AMG4","Between All-Male Groups",1.1068493150685,"Same Age Class"
"367","EGGTEQ",-0.1319,"EGG","TEQ",8.71506849315069,"AMG6",9.86575342465753,"AMG2","Between All-Male Groups",1.15068493150684,"Same Age Class"
"368","EGGTEQ",-0.1319,"EGG","TEQ",8.71506849315069,"AMG6",9.86575342465753,"AMG2","Between All-Male Groups",1.15068493150684,"Same Age Class"
"369","ATERHI",-0.1315,"ATE","RHI",8.86575342465753,"AMG2",8.79452054794521,"AMG2","Within All-Male Group",0.0712328767123207,"Same Age Class"
"370","ATERHI",-0.1315,"ATE","RHI",8.86575342465753,"AMG2",8.79452054794521,"AMG2","Within All-Male Group",0.0712328767123207,"Same Age Class"
"371","EGGMOB",-0.1266,"EGG","MOB",8.71506849315069,"AMG6",11.1424657534247,"AMG7","Between All-Male Groups",2.42739726027401,"Different Age Class"
"372","EGGMOB",-0.1266,"EGG","MOB",8.71506849315069,"AMG6",11.1424657534247,"AMG7","Between All-Male Groups",2.42739726027401,"Different Age Class"
"373","ONEVOD",-0.124,"ONE","VOD",9.25479452054794,"AMG3",7.86575342465753,"AMG2","Between All-Male Groups",1.38904109589041,"Same Age Class"
"374","ONEVOD",-0.124,"ONE","VOD",9.25479452054794,"AMG3",7.86575342465753,"AMG2","Between All-Male Groups",1.38904109589041,"Same Age Class"
"375","ASLEAG",-0.1239,"ASL","EAG",11.9616438356164,"AMG6",8.46301369863014,"AMG6","Within All-Male Group",3.49863013698626,"Different Age Class"
"376","ASLEAG",-0.1239,"ASL","EAG",11.9616438356164,"AMG6",8.46301369863014,"AMG6","Within All-Male Group",3.49863013698626,"Different Age Class"
"377","DRAHOO",-0.122,"DRA","HOO",8.36712328767123,"AMG7",9.25753424657534,"AMG7","Within All-Male Group",0.890410958904109,"Same Age Class"
"378","DRAHOO",-0.122,"DRA","HOO",8.36712328767123,"AMG7",9.25753424657534,"AMG7","Within All-Male Group",0.890410958904109,"Same Age Class"
"379","EGGRAN",-0.1217,"EGG","RAN",8.71506849315069,"AMG6",8.93150684931507,"AMG8","Between All-Male Groups",0.21643835616438,"Same Age Class"
"380","EGGRAN",-0.1217,"EGG","RAN",8.71506849315069,"AMG6",8.93150684931507,"AMG8","Between All-Male Groups",0.21643835616438,"Same Age Class"
"381","KROVOD",-0.1209,"KRO","VOD",9.33424657534247,"AMG4",7.86575342465753,"AMG2","Between All-Male Groups",1.46849315068494,"Same Age Class"
"382","KROVOD",-0.1209,"KRO","VOD",9.33424657534247,"AMG4",7.86575342465753,"AMG2","Between All-Male Groups",1.46849315068494,"Same Age Class"
"383","ATTHOO",-0.12,"ATT","HOO",9.86301369863014,"AMG3",9.25753424657534,"AMG7","Between All-Male Groups",0.605479452054801,"Same Age Class"
"384","EAGRHI",-0.12,"EAG","RHI",8.46301369863014,"AMG6",8.79452054794521,"AMG2","Between All-Male Groups",0.331506849315069,"Same Age Class"
"385","ATTHOO",-0.12,"ATT","HOO",9.86301369863014,"AMG3",9.25753424657534,"AMG7","Between All-Male Groups",0.605479452054801,"Same Age Class"
"386","EAGRHI",-0.12,"EAG","RHI",8.46301369863014,"AMG6",8.79452054794521,"AMG2","Between All-Male Groups",0.331506849315069,"Same Age Class"
"387","DRARAN",-0.1197,"DRA","RAN",8.36712328767123,"AMG7",8.93150684931507,"AMG8","Between All-Male Groups",0.56438356164384,"Same Age Class"
"388","DRARAN",-0.1197,"DRA","RAN",8.36712328767123,"AMG7",8.93150684931507,"AMG8","Between All-Male Groups",0.56438356164384,"Same Age Class"
"389","DUMZET",-0.1189,"DUM","ZET",10.6794520547945,"AMG4",12.8164383561644,"AMG5","Between All-Male Groups",2.1369863013699,"Different Age Class"
"390","DUMZET",-0.1189,"DUM","ZET",10.6794520547945,"AMG4",12.8164383561644,"AMG5","Between All-Male Groups",2.1369863013699,"Different Age Class"
