"","id1","id2","unit","total_focals","all_groom","all_approach","all_leave","all_threat","all_nasty","all_fear","all_kiss","all_wish","all_mount","all_vg","all_vt","all_vf","focal_hrs"
"19","ATT","ONE","AMG3",21,8.95238095238095,2.0952380952381,1.52380952380952,0,0,0,0.19047619047619,0.19047619047619,2.47619047619048,8.38095238095238,0,0,5.25
"20","BUS","ELA","AMG9",56,1.14285714285714,0,0,0.428571428571429,0,0.0714285714285714,0,0,0.571428571428571,1.14285714285714,0.428571428571429,0,14
"21","BUS","LES","AMG9",29,30.7586206896552,0.275862068965517,0.275862068965517,0,0,0,1.24137931034483,0.827586206896552,13.7931034482759,29.3793103448276,0,0,7.25
"22","BUS","NYA","AMG9",59,20.4067796610169,0.203389830508475,0.0677966101694915,0.135593220338983,0.0677966101694915,0.0677966101694915,0.0677966101694915,0.0677966101694915,11.2542372881356,20.2033898305085,0.135593220338983,0,14.75
"23","DGU","OUP","AMG2",71,1.91549295774648,0.28169014084507,0.28169014084507,0.0563380281690141,0.338028169014085,0.507042253521127,0.28169014084507,0,0.450704225352113,1.57746478873239,0,0,17.75
"24","DGU","OUZ","AMG2",94,4.29787234042553,0.170212765957447,0.170212765957447,0.0851063829787234,0,0.0425531914893617,0,0,1.87234042553191,4.29787234042553,0.0851063829787234,0,23.5
"25","DGU","RHI","AMG2",12,0,0,0,0,0,0,0,0,0,0,0,0,3
"26","DGU","TEQ","AMG2",34,9.52941176470588,1.17647058823529,1.05882352941176,0,0,0,0,0,2.94117647058824,9.52941176470588,0,0,8.5
"27","DGU","VOD","AMG2",99,9.73737373737374,0.323232323232323,0.323232323232323,0.0404040404040404,0,0.0404040404040404,0.242424242424242,0.525252525252525,2.34343434343434,8.64646464646465,0.0404040404040404,0,24.75
"28","DGU","WHI","AMG2",30,8.26666666666667,0.533333333333333,0.4,0,0,0,0,0.933333333333333,0.4,3.46666666666667,0,0,7.5
"29","DIK","DRA","AMG7",29,2.06896551724138,0.275862068965517,0.413793103448276,0,0,0,0,0.827586206896552,0.413793103448276,0.551724137931034,0,0,7.25
"30","DIK","IGO","AMG7",22,10.5454545454545,1.45454545454545,0.545454545454545,0.363636363636364,0,0.181818181818182,0.545454545454545,0.545454545454545,6.18181818181818,10,0,0,5.5
"31","DIK","MEA","AMG7",27,2.66666666666667,0.444444444444444,0.296296296296296,0,0,0,0,0,0.444444444444444,2.51851851851852,0,0,6.75
"32","DIK","QUA","AMG7",28,7,1,0.714285714285714,0,0,0.142857142857143,0.285714285714286,0.285714285714286,2.57142857142857,4.28571428571429,0,0,7
"33","DRA","HOO","AMG7",15,2.13333333333333,0.266666666666667,0.266666666666667,0,0.266666666666667,0,0,0,0.8,2.13333333333333,0,0,3.75
