Date,Observer,Time,Subject,Unit,Sex,Status,State,Social,Recipient
1/4/11,DAVID,10:29:55 AM,DYE,K,M,BACHELOR,,GZ,MAY
1/4/11,DAVID,10:30:05 AM,DYE,K,M,BACHELOR,,VG1VG2G2VY1,MAY
1/4/11,DAVID,10:30:15 AM,DYE,K,M,BACHELOR,,K2,MAY
1/4/11,DAVID,10:32:08 AM,DYE,K,M,BACHELOR,,G1,MAY
1/4/11,DAVID,10:32:15 AM,DYE,K,M,BACHELOR,,VY2,MAY
1/4/11,DAVID,10:32:41 AM,DYE,K,M,BACHELOR,,G3,MAY
1/4/11,DAVID,10:34:05 AM,DYE,K,M,BACHELOR,NB,,
1/4/11,DAVID,10:34:37 AM,DYE,K,M,BACHELOR,,G1,MAY
1/4/11,DAVID,10:34:54 AM,DYE,K,M,BACHELOR,,G2VG1VY1VM1,MAY
1/4/11,DAVID,10:35:08 AM,DYE,K,M,BACHELOR,,G3VM1,MAY
1/4/11,DAVID,10:35:27 AM,DYE,K,M,BACHELOR,,GZ,MAY
1/4/11,DAVID,10:35:49 AM,DYE,K,M,BACHELOR,,L@VHRMM,
1/4/11,DAVID,10:36:04 AM,DYE,K,M,BACHELOR,,W1X2VY1,MAY
1/4/11,DAVID,10:36:06 AM,DYE,K,M,BACHELOR,R,,
1/4/11,DAVID,10:37:04 AM,DYE,K,M,BACHELOR,,U1VY1,
1/4/11,DAVID,10:37:13 AM,DYE,K,M,BACHELOR,,F1,
1/4/11,DAVID,10:37:32 AM,DYE,K,M,BACHELOR,,F1VN1,
1/4/11,DAVID,10:38:09 AM,DYE,K,M,BACHELOR,,L@VSF,
1/4/11,DAVID,10:38:42 AM,DYE,K,M,BACHELOR,,G1VY2,MAY
1/4/11,DAVID,10:38:43 AM,DYE,K,M,BACHELOR,S,,
1/4/11,DAVID,10:38:51 AM,DYE,K,M,BACHELOR,NB,,
1/4/11,DAVID,10:39:28 AM,DYE,K,M,BACHELOR,,G2,MAY
1/4/11,DAVID,10:40:44 AM,DYE,K,M,BACHELOR,,G3VG1VM2,MAY
1/4/11,DAVID,10:41:44 AM,DYE,K,M,BACHELOR,,G1,MAY
1/4/11,DAVID,10:43:04 AM,DYE,K,M,BACHELOR,,G2VY1VG2,MAY
1/4/11,DAVID,10:43:33 AM,DYE,K,M,BACHELOR,,GZ,MAY
1/4/11,DAVID,10:43:43 AM,DYE,K,M,BACHELOR,NB,,
1/4/11,DAVID,10:43:45 AM,DYE,K,M,BACHELOR,END,,
1/4/11,DAVID,10:44:37 AM,ASL,K,M,BACHELOR,START,,
1/4/11,DAVID,10:44:39 AM,ASL,K,M,BACHELOR,R,,
1/4/11,DAVID,10:47:34 AM,ASL,K,M,BACHELOR,,U1,
